naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Агинское - Дульдурга;1002601292,51;213605415,33;213605415,33;5289575,68;208315839,65;5289575,68;203026263,97;5289575,68;197736688,29;5289575,68;192447112,61;5289575,68;187157536,93;5289575,68;181867961,25;5289575,68;176578385,57;5289575,68;171288809,89;5289575,68;165999234,21;5289575,68;160709658,53;5289575,68;155420082,85;5289575,68;150130507,17;5289575,68
Агинское - Нижний Цасучей;1715643547,86;508738782,74;508738782,74;9738062,68;499000720,06;9738062,68;489262657,38;9738062,68;479524594,70;9738062,68;469786532,02;9738062,68;460048469,34;9738062,68;450310406,66;9738062,68;440572343,98;9738062,68;430834281,30;9738062,68;421096218,62;9738062,68;411358155,94;9738062,68;401620093,26;9738062,68;391882030,58;9738062,68
Александровский Завод - Журавлево - Маньково;2120579,00;350399,72;350399,72;5200,14;345199,58;5200,14;339999,44;5200,14;334799,30;5200,14;329599,16;5200,14;324399,02;5200,14;319198,88;5200,14;313998,74;5200,14;308798,60;5200,14;303598,46;5200,14;298398,32;5200,14;293198,18;5200,14;287998,04;5200,14
Александровский Завод - Красноярово - Трубачево;26001343,00;4605527,03;4605527,03;110486,02;4495041,01;110486,02;4384554,99;110486,02;4274068,97;110486,02;4163582,95;110486,02;4053096,93;110486,02;3942610,91;110486,02;3832124,89;110486,02;3721638,87;110486,02;3611152,85;107896,80;3503256,05;101313,65;3401942,40;101313,65;3300628,75;96642,26
Балей - Улятуй;33137367,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Баляга - Катангар;25686332,53;900951,43;900951,43;19019,10;881932,33;19019,10;862913,23;19014,90;843898,33;18108,39;825789,94;17333,68;808456,26;17333,68;791122,58;17333,68;773788,90;17333,68;756455,22;17333,68;739121,54;17333,68;721787,86;17333,68;704454,18;17333,68;687120,50;17315,77
Баляга - Ямаровка;245415981,66;43918330,91;43918330,91;521663,34;43396667,57;518235,16;42878432,41;517065,01;42361367,40;429588,31;41931779,09;299587,24;41632191,85;299587,24;41332604,61;299587,24;41033017,37;299587,24;40733430,13;299587,24;40433842,89;299587,24;40134255,65;299587,24;39834668,41;299567,73;39535100,68;299172,59
Борзя - Соловьевск;86169633,50;42194,90;42194,90;4307,99;37886,91;4307,99;33578,92;4307,99;29270,93;4307,99;24962,94;4291,21;20671,73;3316,03;17355,70;1262,80;16092,90;1262,80;14830,10;1262,80;13567,30;1262,80;12304,50;1262,80;11041,70;1262,80;9778,90;1262,80
Бырка - Акша;199176348,88;34457568,50;34457568,50;316978,40;34140590,10;316978,40;33823611,70;316978,40;33506633,30;316978,40;33189654,90;316978,40;32872676,50;316978,40;32555698,10;316978,40;32238719,70;316978,40;31921741,30;316978,40;31604762,90;316978,40;31287784,50;316978,40;30970806,10;316978,40;30653827,70;316978,40
Бырка - Досатуй;28970978,25;662687,93;662687,93;12413,39;650274,54;12413,39;637861,15;12413,39;625447,76;12413,39;613034,37;12413,39;600620,98;12413,39;588207,59;12413,39;575794,20;12413,39;563380,81;12413,39;550967,42;12413,39;538554,03;12413,39;526140,64;12413,39;513727,25;12413,39
Верхний Шергольджин - Большая Речка;342814,00;7241,37;7241,37;153,31;7088,06;153,31;6934,75;153,31;6781,44;153,31;6628,13;153,31;6474,82;153,31;6321,51;153,31;6168,20;153,31;6014,89;153,31;5861,58;153,31;5708,27;153,31;5554,96;153,31;5401,65;153,31
Вершино-Дарасунский - Верх-Усугли;30957199,99;1321334,04;1321334,04;32334,06;1288999,98;32334,06;1256665,92;32334,06;1224331,86;32334,06;1191997,80;32334,06;1159663,74;32334,06;1127329,68;32334,06;1094995,62;32334,06;1062661,56;32334,06;1030327,50;32334,06;997993,44;32334,06;965659,38;32334,06;933325,32;32334,06
Газимурский Завод - Батакан - Зерен;301198074,00;66431205,16;66431205,16;1434317,26;64996887,90;1434317,26;63562570,64;1434317,26;62128253,38;1434317,26;60693936,12;1434317,26;59259618,86;1434317,26;57825301,60;1292181,30;56533120,30;779626,82;55753493,48;779626,82;54973866,66;779626,82;54194239,84;779626,82;53414613,02;779626,82;52634986,20;779626,82
Дарасун - Госграница с МНР;530835548,11;109619006,23;109619006,23;1658646,43;107960359,80;1658547,46;106301812,34;1657647,64;104644164,70;1654476,26;102989688,44;1652372,80;101337315,64;1651971,97;99685343,67;1651626,34;98033717,33;1646334,40;96387382,93;1539035,55;94848347,38;1538542,95;93309804,43;1534835,88;91774968,55;1533630,10;90241338,45;1533520,70
Дарасун - Солнцево;84326964,03;13421225,34;13421225,34;351486,45;13069738,89;351486,45;12718252,44;351486,45;12366765,99;351486,45;12015279,54;351486,45;11663793,09;351486,45;11312306,64;351486,45;10960820,19;351486,45;10609333,74;351486,45;10257847,29;351486,45;9906360,84;351486,45;9554874,39;351486,45;9203387,94;351486,45
Долгокыча - Калангуй;2906262,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Единение - Цаган-Олуй - Кондуй;71261401,58;1772561,44;1772561,44;32849,47;1739711,97;32549,24;1707162,73;32547,85;1674614,88;32132,95;1642481,93;32011,41;1610470,52;31614,74;1578855,78;30606,99;1548248,79;29955,15;1518293,64;26487,42;1491806,22;26487,42;1465318,80;26487,42;1438831,38;26487,42;1412343,96;26487,42
